Body Name	Surface Slots	Orbital Slots	System Name	System Address	Body Type	Body ID	Parents	Scan Time	Scan Type	Star Type	Planet Class	Landable	Distance (LS)	Tidal Locked	Terraform State	Mass (Earths)	Stellar Mass (Suns)	Radius (km)	Gravity (g)	Surface Temp (K)	Surface Temp (C)	Absolute Magnitude	Age (million years)	Luminosity	Pressure (Pa)	Pressure (atm)	Atmosphere	Atmosphere Type	Atmosphere Composition	Volcanism	Ice %	Rock %	Metal %	Materials	Rings	Semi-major Axis (AU)	Eccentricity	Orbital Inclination (deg)	Periapsis (deg)	Orbital Period (days)	Ascending Node (deg)	Mean Anomaly (deg)	Rotation Period (days)	Axial Tilt (deg)	Was Discovered	Was Mapped Before	Was Footfalled	DSS Mapped Now	Probes Used	Efficiency Target	Efficient Mapping	Bio Signals	Geo Signals	Human Signals	Guardian Signals	Thargoid Signals	All Signals	Genuses
Nyeakua GG-D b4-4	N/A	2	Nyeakua GG-D b4-4	9564488871969	Star	0		2026-07-26T05:32:30Z	AutoScan	M		N/A	0				0.40625	388820.32		2992	2718.85	8.95195	3262	Va																			2.967878	0	Yes	No	N/A	N/A										
Nyeakua GG-D b4-4 1	N/A	1	Nyeakua GG-D b4-4	9564488871969	Planet	1	Star:0	2026-07-26T05:32:50Z	Detailed		Rocky ice body	No	390.042	No	None	1.384247		8015.12	0.8758	445.34	172.19				501219264	4946.649534	thick ammonia rich atmosphere	AmmoniaRich	Nitrogen=42.526619%; Ammonia=38.344131%; Methane=18.676937%	major water geysers volcanism	47.3831	35.4872	17.1297			0.781575	0.000084	0.0009	214.0393	395.910352	-81.0366	164.7429	1.486885	-25.0609	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua GG-D b4-4 2	N/A	1	Nyeakua GG-D b4-4	9564488871969	Planet	3	Null:2 > Star:0	2026-07-26T05:32:40Z	Detailed		Icy body	No	469.3	Yes	None	0.434974		6041.83	0.4843	124.89	-148.26				92238000	910.318283	thick argon rich atmosphere	ArgonRich	Nitrogen=99.059029%; Argon=0.940696%	None	68.7664	21.0655	10.1681			0.001834	0.117068	-3.0958	179.0114	57.200932	71.657	151.8405	83.618756	-21.4013	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua GG-D b4-4 3	N/A	2	Nyeakua GG-D b4-4	9564488871969	Planet	4	Null:2 > Star:0	2026-07-26T05:32:41Z	Detailed		Icy body	No	468.15	Yes	None	0.382569		5805.88	0.4613	122.82	-150.33				77323072	763.119388	thick argon rich atmosphere	ArgonRich	Nitrogen=99.106308%; Argon=0.893440%	None	68.7664	21.0655	10.1681			0.002085	0.117068	-3.0958	359.0114	57.200932	71.657	151.8407	78.419975	-3.8073	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua GG-D b4-4 4	N/A	2	Nyeakua GG-D b4-4	9564488871969	Planet	5	Star:0	2026-07-26T05:32:47Z	Detailed		Icy body	No	688.095	No	None	0.69368		6973.93	0.5797	219.39	-53.76				140694304	1388.544821	thick methane rich atmosphere	MethaneRich	Nitrogen=96.335526%; Methane=2.641330%; Argon=0.963351%	major water magma volcanism	68.7664	21.0655	10.1681			1.37892	0.000097	0.2233	291.2625	927.788337	-50.8152	263.6373	1.489283	-12.3959	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua GG-D b4-4 5	N/A	2	Nyeakua GG-D b4-4	9564488871969	Planet	6	Star:0	2026-07-26T05:33:00Z	Detailed		Icy body	No	2162.9	No	None	1.993257		9497.8	0.8981	41.89	-231.26				38703.02	0.381969	neon rich atmosphere	NeonRich	Helium=95.524139%; Neon=2.392199%; Hydrogen=2.083660%	major water geysers volcanism	67.0266	22.0337	10.9397			4.334977	0.001007	2.0427	164.9152	5171.54961	162.0962	82.6991	0.81726	-47.2967	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua GG-D b4-4 5 a	3	3	Nyeakua GG-D b4-4	9564488871969	Planet	7	Planet:6 > Star:0	2026-07-26T05:32:59Z	Detailed		Icy body	Yes	2171.358	No	None	0.180568		4869.46	0.3095	41.18	-231.97				1.444	0.000014	None	None		None	87.9823	10.3655	1.6522	sulphur=28.863298%; carbon=24.271044%; phosphorus=15.538738%; iron=12.435122%; nickel=9.405405%; germanium=3.300234%; vanadium=3.053633%; zirconium=1.443974%; molybdenum=0.812006%; mercury=0.543021%; polonium=0.333523%		0.017622	0	-62.752	34.1908	334.399697	-150.7585	309.7138	2.146481	25.2204	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua GG-D b4-4 6	N/A	1	Nyeakua GG-D b4-4	9564488871969	Planet	8	Star:0	2026-07-26T05:32:53Z	Detailed		Icy body	No	2824.09	No	None	1.145387		8114.08	0.7071	36.49	-236.66				24101.693	0.237865	neon rich atmosphere	NeonRich	Helium=97.556892%; Neon=2.443105%	water geysers volcanism	68.7672	21.0645	10.1682			5.658177	0.00416	0.0984	182.9608	7711.791261	26.8852	267.1493	1.227751	-23.2057	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua GG-D b4-4 7	N/A	1	Nyeakua GG-D b4-4	9564488871969	Planet	9	Star:0	2026-07-26T05:32:45Z	Detailed		Icy body	No	4128.511	No	None	1.527147		8837.02	0.7948	30.22	-242.93				30684.363	0.302831	neon rich atmosphere	NeonRich	Helium=96.822945%; Neon=2.424725%; Hydrogen=0.752318%	major water geysers volcanism	68.7672	21.0645	10.1682			8.292856	0.002454	0.0733	81.47	13683.482453	-76.1782	17.8617	0.847384	26.825	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua DQ-B c2-3 A	N/A	1	Nyeakua DQ-B c2-3	920699901970	Star	1	Null:0	2026-07-26T06:02:39Z	AutoScan	G		N/A	0				0.84375	642543.68		5502	5228.85	5.214691	4820	Vab											Nyeakua DQ-B c2-3 A A Belt [eRingClass_Rocky, MassMT=1.2343E+14, InnerRad=1.1271E+9, OuterRad=2.2802E+9]	230.356441	0.2107	-57.8374	22.3996	5973473.122274	-10.6668	93.3689	3.732587	0	Yes	No	N/A	N/A										
