Body Name	Surface Slots	Orbital Slots	System Name	System Address	Body Type	Body ID	Parents	Scan Time	Scan Type	Star Type	Planet Class	Landable	Distance (LS)	Tidal Locked	Terraform State	Mass (Earths)	Stellar Mass (Suns)	Radius (km)	Gravity (g)	Surface Temp (K)	Surface Temp (C)	Absolute Magnitude	Age (million years)	Luminosity	Pressure (Pa)	Pressure (atm)	Atmosphere	Atmosphere Type	Atmosphere Composition	Volcanism	Ice %	Rock %	Metal %	Materials	Rings	Semi-major Axis (AU)	Eccentricity	Orbital Inclination (deg)	Periapsis (deg)	Orbital Period (days)	Ascending Node (deg)	Mean Anomaly (deg)	Rotation Period (days)	Axial Tilt (deg)	Was Discovered	Was Mapped Before	Was Footfalled	DSS Mapped Now	Probes Used	Efficiency Target	Efficient Mapping	Bio Signals	Geo Signals	Human Signals	Guardian Signals	Thargoid Signals	All Signals	Genuses
Nyeakua GG-D b4-1 A	N/A		Nyeakua GG-D b4-1	2967419105313	Star	1	Null:0	2026-06-21T04:46:40Z	AutoScan	M		N/A	0				0.203125	232944.08		2150	1876.85	11.500305	4952	VI												139.582721	0.000137	40.6686	17.774	5936238.293846	-141.178	51.2033	1.625274	0	No	No	N/A	N/A										
Nyeakua GG-D b4-1 B	N/A		Nyeakua GG-D b4-1	2967419105313	Star	2	Null:0	2026-06-21T04:46:40Z	AutoScan	L		N/A	214517.922				0.097656	177865.3		1345	1071.85	14.123901	4952	V												290.345652	0.000137	40.6686	197.774	5936238.293846	-141.178	51.2033	0.790692	0	No	No	N/A	N/A										
Nyeakua GG-D b4-1 A 1	N/A		Nyeakua GG-D b4-1	2967419105313	Planet	3	Star:1 > Null:0	2026-06-21T04:52:34Z	Detailed		Icy body	No	241.081	No	None	0.137652		4202.55	0.3168	158.32	-114.83				808892.875	7.983152	thick methane atmosphere	Methane	Methane=49.748112%; Nitrogen=49.748112%; Argon=0.497481%	None	68.3696	21.2549	10.3755			0.483022	0.000274	0.008	291.8984	272.024726	-114.6094	220.7146	1.640993	-29.7308	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua GG-D b4-1 A 2			Nyeakua GG-D b4-1	2967419105313	Planet	4	Star:1 > Null:0	2026-07-25T15:08:17Z	Detailed		Icy body	Yes	305.798	No	None	0.222956		4896.23	0.378	62.29	-210.86				416.95	0.004115	thin neon rich atmosphere	NeonRich	Nitrogen=61.131413%; Neon=38.868584%	None	68.3696	21.2549	10.3755	sulphur=24.167332%; carbon=20.322222%; iron=16.744059%; phosphorus=13.010636%; nickel=12.664506%; zinc=4.550408%; germanium=3.533098%; arsenic=1.580050%; cadmium=1.300252%; molybdenum=1.093377%; ruthenium=1.034052%		0.612818	6e-06	-0.0019	234.1176	388.73585	-175.2731	65.3495	2.100611	13.5831	Yes	No	No	Yes	6	6	Yes	0	0	1	0	0	Human:1	
Nyeakua GG-D b4-1 A 3	N/A		Nyeakua GG-D b4-1	2967419105313	Planet	5	Star:1 > Null:0	2026-06-21T04:52:42Z	Detailed		Icy body	No	417.619	No	None	0.355752		5643.39	0.454	72.19	-200.96				57971112	572.130392	thick argon rich atmosphere	ArgonRich	Nitrogen=99.190559%; Argon=0.809035%	None	67.024	21.9995	10.9765			0.836963	0.000202	-0.0169	52.6932	620.464932	-58.5987	69.1119	0.688855	114.9997	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua GG-D b4-1 A 3 a			Nyeakua GG-D b4-1	2967419105313	Planet	6	Planet:5 > Star:1 > Null:0	2026-06-21T04:52:46Z	Detailed		Icy body	Yes	417.823	Yes	None	0.024626		2562.59	0.1524	53.38	-219.77				0	0	None	None		None	87.8084	10.4993	1.6923	sulphur=27.440367%; carbon=23.074507%; phosphorus=14.772696%; iron=11.981694%; nickel=9.062451%; manganese=4.948318%; zinc=3.256176%; germanium=3.188283%; niobium=0.818885%; molybdenum=0.782398%; antimony=0.674240%		0.001981	0	-12.1851	248.4958	30.138499	-167.3727	309.1513	31.164177	24.8804	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua GG-D b4-1 A 4			Nyeakua GG-D b4-1	2967419105313	Planet	8	Null:7 > Star:1 > Null:0	2026-07-25T15:11:30Z	Detailed		Icy body	Yes	778.98	No	None	0.284602		5286.64	0.4139	39.45	-233.7				200.512	0.001979	thin neon atmosphere	Neon	Neon=100.000000%	None	68.3697	21.2548	10.3756	sulphur=22.984924%; carbon=19.327942%; iron=15.924867%; phosphorus=12.374079%; nickel=12.044902%; chromium=7.161942%; vanadium=3.910593%; selenium=3.597335%; niobium=1.088380%; tungsten=0.874435%; antimony=0.710603%		0.003689	0.171357	7.6667	95.2382	220.238066	29.5456	2.4918	1.238448	6.1698	Yes	No	No	Yes	6	6	Yes	1	0	0	0	0	Biological:1	Bacterium
Nyeakua GG-D b4-1 A 5			Nyeakua GG-D b4-1	2967419105313	Planet	9	Null:7 > Star:1 > Null:0	2026-07-25T15:19:46Z	Detailed		Icy body	Yes	780.621	No	None	0.230086		4945.03	0.3824	39.45	-233.7				167.608	0.001654	thin neon atmosphere	Neon	Neon=100.000000%	minor nitrogen magma volcanism	68.3697	21.2548	10.3756	sulphur=23.796164%; carbon=20.010109%; iron=16.486925%; phosphorus=12.810814%; nickel=12.470018%; manganese=6.808932%; germanium=3.478829%; arsenic=1.555780%; niobium=1.126793%; antimony=0.735683%; mercury=0.719957%		0.004563	0.171357	7.6667	275.2382	220.238066	29.5456	2.5012	4.083996	-3.8563	Yes	No	No	Yes	6	6	Yes	1	2	0	0	0	Biological:1; Geological:2	Bacterium
Nyeakua GG-D b4-1 A 6	N/A		Nyeakua GG-D b4-1	2967419105313	Planet	10	Star:1 > Null:0	2026-06-21T04:47:22Z	Detailed		Icy body	No	2567.384	No	None	0.781579		7221.85	0.6091	22.52	-250.63				17779.881	0.175474	neon rich atmosphere	NeonRich	Helium=97.556892%; Neon=2.443106%	minor carbon dioxide geysers volcanism	68.3688	21.2553	10.3759			5.144527	0.000118	-0.0871	240.3371	9455.30956	-150.5756	142.6347	0.58556	25.2159	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
Nyeakua GG-D b4-1 A 7	N/A		Nyeakua GG-D b4-1	2967419105313	Planet	11	Star:1 > Null:0	2026-06-21T04:47:11Z	Detailed		Icy body	No	4616.484	No	None	0.982801		7719.57	0.6703	20.2	-252.95				20768.92	0.204973	helium atmosphere	Helium	Helium=100.000000%	minor carbon dioxide geysers volcanism	67.5894	21.6865	10.7241			9.184586	0.014997	0.1656	236.3446	22555.215077	-40.5058	241.7423	1.135319	-47.7883	No	No	No	No				Unknown	Unknown	Unknown	Unknown	Unknown		
